bus_id,depot_id,bus_number,registration_number,bus_type,status,data_source
B0059,D020,ERNAKULA-BUS-02,MOCK-KL-20-002,ORDINARY,ACTIVE,MOCK
B0060,D020,ERNAKULA-BUS-03,MOCK-KL-20-003,ORDINARY,ACTIVE,MOCK
B0061,D021,ERUMELY-BUS-01,MOCK-KL-21-001,ORDINARY,ACTIVE,MOCK
B0062,D021,ERUMELY-BUS-02,MOCK-KL-21-002,ORDINARY,ACTIVE,MOCK
B0063,D021,ERUMELY-BUS-03,MOCK-KL-21-003,ORDINARY,ACTIVE,MOCK
B0064,D022,GURUVAYO-BUS-01,MOCK-KL-22-001,ORDINARY,ACTIVE,MOCK
B0065,D022,GURUVAYO-BUS-02,MOCK-KL-22-002,ORDINARY,ACTIVE,MOCK
B0066,D022,GURUVAYO-BUS-03,MOCK-KL-22-003,ORDINARY,ACTIVE,MOCK
B0067,D023,HARIPPAD-BUS-01,MOCK-KL-23-001,ORDINARY,ACTIVE,MOCK
B0068,D023,HARIPPAD-BUS-02,MOCK-KL-23-002,ORDINARY,ACTIVE,MOCK
B0069,D023,HARIPPAD-BUS-03,MOCK-KL-23-003,ORDINARY,ACTIVE,MOCK
B0070,D024,IRINJALA-BUS-01,MOCK-KL-24-001,ORDINARY,ACTIVE,MOCK
B0071,D024,IRINJALA-BUS-02,MOCK-KL-24-002,ORDINARY,ACTIVE,MOCK
B0072,D024,IRINJALA-BUS-03,MOCK-KL-24-003,ORDINARY,ACTIVE,MOCK
B0073,D025,KALPETTA-BUS-01,MOCK-KL-25-001,ORDINARY,ACTIVE,MOCK
B0074,D025,KALPETTA-BUS-02,MOCK-KL-25-002,ORDINARY,ACTIVE,MOCK
B0075,D025,KALPETTA-BUS-03,MOCK-KL-25-003,ORDINARY,ACTIVE,MOCK
B0076,D026,KANHANGA-BUS-01,MOCK-KL-26-001,ORDINARY,ACTIVE,MOCK
B0077,D026,KANHANGA-BUS-02,MOCK-KL-26-002,ORDINARY,ACTIVE,MOCK
B0078,D026,KANHANGA-BUS-03,MOCK-KL-26-003,ORDINARY,ACTIVE,MOCK
B0079,D027,KANIYAPU-BUS-01,MOCK-KL-27-001,ORDINARY,ACTIVE,MOCK
B0080,D027,KANIYAPU-BUS-02,MOCK-KL-27-002,ORDINARY,ACTIVE,MOCK
B0081,D027,KANIYAPU-BUS-03,MOCK-KL-27-003,ORDINARY,ACTIVE,MOCK
B0082,D028,KANNUR-BUS-01,MOCK-KL-28-001,ORDINARY,ACTIVE,MOCK
B0083,D028,KANNUR-BUS-02,MOCK-KL-28-002,ORDINARY,ACTIVE,MOCK
B0084,D028,KANNUR-BUS-03,MOCK-KL-28-003,ORDINARY,ACTIVE,MOCK
B0085,D029,KARUNAGA-BUS-01,MOCK-KL-29-001,ORDINARY,ACTIVE,MOCK
B0086,D029,KARUNAGA-BUS-02,MOCK-KL-29-002,ORDINARY,ACTIVE,MOCK
B0087,D029,KARUNAGA-BUS-03,MOCK-KL-29-003,ORDINARY,ACTIVE,MOCK
B0088,D030,KASARAGO-BUS-01,MOCK-KL-30-001,ORDINARY,ACTIVE,MOCK
B0089,D030,KASARAGO-BUS-02,MOCK-KL-30-002,ORDINARY,ACTIVE,MOCK
B0090,D030,KASARAGO-BUS-03,MOCK-KL-30-003,ORDINARY,ACTIVE,MOCK
B0091,D031,KATTAKAD-BUS-01,MOCK-KL-31-001,ORDINARY,ACTIVE,MOCK
B0092,D031,KATTAKAD-BUS-02,MOCK-KL-31-002,ORDINARY,ACTIVE,MOCK
B0093,D031,KATTAKAD-BUS-03,MOCK-KL-31-003,ORDINARY,ACTIVE,MOCK
B0094,D032,KATTAPPA-BUS-01,MOCK-KL-32-001,ORDINARY,ACTIVE,MOCK
B0095,D032,KATTAPPA-BUS-02,MOCK-KL-32-002,ORDINARY,ACTIVE,MOCK
B0096,D032,KATTAPPA-BUS-03,MOCK-KL-32-003,ORDINARY,ACTIVE,MOCK
B0097,D033,KAYAMKUL-BUS-01,MOCK-KL-33-001,ORDINARY,ACTIVE,MOCK
B0098,D033,KAYAMKUL-BUS-02,MOCK-KL-33-002,ORDINARY,ACTIVE,MOCK
B0099,D033,KAYAMKUL-BUS-03,MOCK-KL-33-003,ORDINARY,ACTIVE,MOCK
B0100,D034,KILIMANO-BUS-01,MOCK-KL-34-001,ORDINARY,ACTIVE,MOCK
B0101,D034,KILIMANO-BUS-02,MOCK-KL-34-002,ORDINARY,ACTIVE,MOCK
B0102,D034,KILIMANO-BUS-03,MOCK-KL-34-003,ORDINARY,ACTIVE,MOCK
B0103,D035,KODUNGAL-BUS-01,MOCK-KL-35-001,ORDINARY,ACTIVE,MOCK
B0104,D035,KODUNGAL-BUS-02,MOCK-KL-35-002,ORDINARY,ACTIVE,MOCK
B0105,D035,KODUNGAL-BUS-03,MOCK-KL-35-003,ORDINARY,ACTIVE,MOCK
B0106,D036,KOLLAM-BUS-01,MOCK-KL-36-001,ORDINARY,ACTIVE,MOCK
B0107,D036,KOLLAM-BUS-02,MOCK-KL-36-002,ORDINARY,ACTIVE,MOCK
B0108,D036,KOLLAM-BUS-03,MOCK-KL-36-003,ORDINARY,ACTIVE,MOCK
B0109,D037,KONNI-BUS-01,MOCK-KL-37-001,ORDINARY,ACTIVE,MOCK
B0110,D037,KONNI-BUS-02,MOCK-KL-37-002,ORDINARY,ACTIVE,MOCK
B0111,D037,KONNI-BUS-03,MOCK-KL-37-003,ORDINARY,ACTIVE,MOCK
B0112,D038,KOOTHATT-BUS-01,MOCK-KL-38-001,ORDINARY,ACTIVE,MOCK
B0113,D038,KOOTHATT-BUS-02,MOCK-KL-38-002,ORDINARY,ACTIVE,MOCK
B0114,D038,KOOTHATT-BUS-03,MOCK-KL-38-003,ORDINARY,ACTIVE,MOCK
B0115,D039,KOTHAMAN-BUS-01,MOCK-KL-39-001,ORDINARY,ACTIVE,MOCK
B0116,D039,KOTHAMAN-BUS-02,MOCK-KL-39-002,ORDINARY,ACTIVE,MOCK
B0117,D039,KOTHAMAN-BUS-03,MOCK-KL-39-003,ORDINARY,ACTIVE,MOCK
B0118,D040,KOTTARAK-BUS-01,MOCK-KL-40-001,ORDINARY,ACTIVE,MOCK
B0119,D040,KOTTARAK-BUS-02,MOCK-KL-40-002,ORDINARY,ACTIVE,MOCK
B0120,D040,KOTTARAK-BUS-03,MOCK-KL-40-003,ORDINARY,ACTIVE,MOCK
B0121,D041,KOTTAYAM-BUS-01,MOCK-KL-41-001,ORDINARY,ACTIVE,MOCK
B0122,D041,KOTTAYAM-BUS-02,MOCK-KL-41-002,ORDINARY,ACTIVE,MOCK
B0123,D041,KOTTAYAM-BUS-03,MOCK-KL-41-003,ORDINARY,ACTIVE,MOCK
B0124,D042,KOZHIKOD-BUS-01,MOCK-KL-42-001,ORDINARY,ACTIVE,MOCK
B0125,D042,KOZHIKOD-BUS-02,MOCK-KL-42-002,ORDINARY,ACTIVE,MOCK
B0126,D042,KOZHIKOD-BUS-03,MOCK-KL-42-003,ORDINARY,ACTIVE,MOCK
B0127,D043,KULATHUP-BUS-01,MOCK-KL-43-001,ORDINARY,ACTIVE,MOCK
B0128,D043,KULATHUP-BUS-02,MOCK-KL-43-002,ORDINARY,ACTIVE,MOCK
B0129,D043,KULATHUP-BUS-03,MOCK-KL-43-003,ORDINARY,ACTIVE,MOCK
B0130,D044,KUMALY-BUS-01,MOCK-KL-44-001,ORDINARY,ACTIVE,MOCK
B0131,D044,KUMALY-BUS-02,MOCK-KL-44-002,ORDINARY,ACTIVE,MOCK
B0132,D044,KUMALY-BUS-03,MOCK-KL-44-003,ORDINARY,ACTIVE,MOCK
B0133,D045,MALA-BUS-01,MOCK-KL-45-001,ORDINARY,ACTIVE,MOCK
B0134,D045,MALA-BUS-02,MOCK-KL-45-002,ORDINARY,ACTIVE,MOCK
B0135,D045,MALA-BUS-03,MOCK-KL-45-003,ORDINARY,ACTIVE,MOCK
B0136,D046,MALAPPUR-BUS-01,MOCK-KL-46-001,ORDINARY,ACTIVE,MOCK
B0137,D046,MALAPPUR-BUS-02,MOCK-KL-46-002,ORDINARY,ACTIVE,MOCK
B0138,D046,MALAPPUR-BUS-03,MOCK-KL-46-003,ORDINARY,ACTIVE,MOCK
B0139,D047,MALLAPAL-BUS-01,MOCK-KL-47-001,ORDINARY,ACTIVE,MOCK
B0140,D047,MALLAPAL-BUS-02,MOCK-KL-47-002,ORDINARY,ACTIVE,MOCK
B0141,D047,MALLAPAL-BUS-03,MOCK-KL-47-003,ORDINARY,ACTIVE,MOCK
B0142,D048,MANANTHA-BUS-01,MOCK-KL-48-001,ORDINARY,ACTIVE,MOCK
B0143,D048,MANANTHA-BUS-02,MOCK-KL-48-002,ORDINARY,ACTIVE,MOCK
B0144,D048,MANANTHA-BUS-03,MOCK-KL-48-003,ORDINARY,ACTIVE,MOCK
B0145,D049,MANNARGH-BUS-01,MOCK-KL-49-001,ORDINARY,ACTIVE,MOCK
B0146,D049,MANNARGH-BUS-02,MOCK-KL-49-002,ORDINARY,ACTIVE,MOCK
B0147,D049,MANNARGH-BUS-03,MOCK-KL-49-003,ORDINARY,ACTIVE,MOCK
B0148,D050,MAVELIKA-BUS-01,MOCK-KL-50-001,ORDINARY,ACTIVE,MOCK
B0149,D050,MAVELIKA-BUS-02,MOCK-KL-50-002,ORDINARY,ACTIVE,MOCK
B0150,D050,MAVELIKA-BUS-03,MOCK-KL-50-003,ORDINARY,ACTIVE,MOCK
B0151,D051,MOOLAMAT-BUS-01,MOCK-KL-51-001,ORDINARY,ACTIVE,MOCK
B0152,D051,MOOLAMAT-BUS-02,MOCK-KL-51-002,ORDINARY,ACTIVE,MOCK
B0153,D051,MOOLAMAT-BUS-03,MOCK-KL-51-003,ORDINARY,ACTIVE,MOCK
B0154,D052,MOOVATTU-BUS-01,MOCK-KL-52-001,ORDINARY,ACTIVE,MOCK
B0155,D052,MOOVATTU-BUS-02,MOCK-KL-52-002,ORDINARY,ACTIVE,MOCK
B0156,D052,MOOVATTU-BUS-03,MOCK-KL-52-003,ORDINARY,ACTIVE,MOCK
B0157,D053,MUNNAR-BUS-01,MOCK-KL-53-001,ORDINARY,ACTIVE,MOCK
B0158,D053,MUNNAR-BUS-02,MOCK-KL-53-002,ORDINARY,ACTIVE,MOCK
B0159,D053,MUNNAR-BUS-03,MOCK-KL-53-003,ORDINARY,ACTIVE,MOCK
B0160,D054,NEDUMANG-BUS-01,MOCK-KL-54-001,ORDINARY,ACTIVE,MOCK
B0161,D054,NEDUMANG-BUS-02,MOCK-KL-54-002,ORDINARY,ACTIVE,MOCK
B0162,D054,NEDUMANG-BUS-03,MOCK-KL-54-003,ORDINARY,ACTIVE,MOCK
B0163,D055,NEDUMKAN-BUS-01,MOCK-KL-55-001,ORDINARY,ACTIVE,MOCK
B0164,D055,NEDUMKAN-BUS-02,MOCK-KL-55-002,ORDINARY,ACTIVE,MOCK
B0165,D055,NEDUMKAN-BUS-03,MOCK-KL-55-003,ORDINARY,ACTIVE,MOCK
B0166,D056,NEYYATIN-BUS-01,MOCK-KL-56-001,ORDINARY,ACTIVE,MOCK
B0167,D056,NEYYATIN-BUS-02,MOCK-KL-56-002,ORDINARY,ACTIVE,MOCK
B0168,D056,NEYYATIN-BUS-03,MOCK-KL-56-003,ORDINARY,ACTIVE,MOCK
B0169,D057,NILAMBUR-BUS-01,MOCK-KL-57-001,ORDINARY,ACTIVE,MOCK
B0170,D057,NILAMBUR-BUS-02,MOCK-KL-57-002,ORDINARY,ACTIVE,MOCK
B0171,D057,NILAMBUR-BUS-03,MOCK-KL-57-003,ORDINARY,ACTIVE,MOCK
B0172,D058,NORTHPAR-BUS-01,MOCK-KL-58-001,ORDINARY,ACTIVE,MOCK
B0173,D058,NORTHPAR-BUS-02,MOCK-KL-58-002,ORDINARY,ACTIVE,MOCK
B0174,D058,NORTHPAR-BUS-03,MOCK-KL-58-003,ORDINARY,ACTIVE,MOCK
B0175,D059,PALA-BUS-01,MOCK-KL-59-001,ORDINARY,ACTIVE,MOCK
B0176,D059,PALA-BUS-02,MOCK-KL-59-002,ORDINARY,ACTIVE,MOCK
B0177,D059,PALA-BUS-03,MOCK-KL-59-003,ORDINARY,ACTIVE,MOCK
B0178,D060,PALAKKAD-BUS-01,MOCK-KL-60-001,ORDINARY,ACTIVE,MOCK
B0179,D060,PALAKKAD-BUS-02,MOCK-KL-60-002,ORDINARY,ACTIVE,MOCK
B0180,D060,PALAKKAD-BUS-03,MOCK-KL-60-003,ORDINARY,ACTIVE,MOCK
B0181,D061,PALODE-BUS-01,MOCK-KL-61-001,ORDINARY,ACTIVE,MOCK
B0182,D061,PALODE-BUS-02,MOCK-KL-61-002,ORDINARY,ACTIVE,MOCK
B0183,D061,PALODE-BUS-03,MOCK-KL-61-003,ORDINARY,ACTIVE,MOCK
B0184,D062,PAMBA-BUS-01,MOCK-KL-62-001,ORDINARY,ACTIVE,MOCK
B0185,D062,PAMBA-BUS-02,MOCK-KL-62-002,ORDINARY,ACTIVE,MOCK
B0186,D062,PAMBA-BUS-03,MOCK-KL-62-003,ORDINARY,ACTIVE,MOCK
B0187,D063,PANDALAM-BUS-01,MOCK-KL-63-001,ORDINARY,ACTIVE,MOCK
B0188,D063,PANDALAM-BUS-02,MOCK-KL-63-002,ORDINARY,ACTIVE,MOCK
B0189,D063,PANDALAM-BUS-03,MOCK-KL-63-003,ORDINARY,ACTIVE,MOCK
B0190,D064,PAPPANAM-BUS-01,MOCK-KL-64-001,ORDINARY,ACTIVE,MOCK
B0191,D064,PAPPANAM-BUS-02,MOCK-KL-64-002,ORDINARY,ACTIVE,MOCK
B0192,D064,PAPPANAM-BUS-03,MOCK-KL-64-003,ORDINARY,ACTIVE,MOCK
B0193,D065,PARASSAL-BUS-01,MOCK-KL-65-001,ORDINARY,ACTIVE,MOCK
B0194,D065,PARASSAL-BUS-02,MOCK-KL-65-002,ORDINARY,ACTIVE,MOCK
B0195,D065,PARASSAL-BUS-03,MOCK-KL-65-003,ORDINARY,ACTIVE,MOCK
B0196,D066,PATHANAM-BUS-01,MOCK-KL-66-001,ORDINARY,ACTIVE,MOCK
B0197,D066,PATHANAM-BUS-02,MOCK-KL-66-002,ORDINARY,ACTIVE,MOCK
B0198,D066,PATHANAM-BUS-03,MOCK-KL-66-003,ORDINARY,ACTIVE,MOCK
B0199,D067,PATHANAP-BUS-01,MOCK-KL-67-001,ORDINARY,ACTIVE,MOCK
B0200,D067,PATHANAP-BUS-02,MOCK-KL-67-002,ORDINARY,ACTIVE,MOCK
B0201,D067,PATHANAP-BUS-03,MOCK-KL-67-003,ORDINARY,ACTIVE,MOCK
B0202,D068,PAYYANUR-BUS-01,MOCK-KL-68-001,ORDINARY,ACTIVE,MOCK
B0203,D068,PAYYANUR-BUS-02,MOCK-KL-68-002,ORDINARY,ACTIVE,MOCK
B0204,D068,PAYYANUR-BUS-03,MOCK-KL-68-003,ORDINARY,ACTIVE,MOCK
B0205,D069,PERINTHA-BUS-01,MOCK-KL-69-001,ORDINARY,ACTIVE,MOCK
B0206,D069,PERINTHA-BUS-02,MOCK-KL-69-002,ORDINARY,ACTIVE,MOCK
B0207,D069,PERINTHA-BUS-03,MOCK-KL-69-003,ORDINARY,ACTIVE,MOCK
B0208,D070,PEROORKA-BUS-01,MOCK-KL-70-001,ORDINARY,ACTIVE,MOCK
B0209,D070,PEROORKA-BUS-02,MOCK-KL-70-002,ORDINARY,ACTIVE,MOCK
B0210,D070,PEROORKA-BUS-03,MOCK-KL-70-003,ORDINARY,ACTIVE,MOCK
B0211,D071,PERUMBAV-BUS-01,MOCK-KL-71-001,ORDINARY,ACTIVE,MOCK
B0212,D071,PERUMBAV-BUS-02,MOCK-KL-71-002,ORDINARY,ACTIVE,MOCK
B0213,D071,PERUMBAV-BUS-03,MOCK-KL-71-003,ORDINARY,ACTIVE,MOCK
B0214,D072,PIRAVOM-BUS-01,MOCK-KL-72-001,ORDINARY,ACTIVE,MOCK
B0215,D072,PIRAVOM-BUS-02,MOCK-KL-72-002,ORDINARY,ACTIVE,MOCK
B0216,D072,PIRAVOM-BUS-03,MOCK-KL-72-003,ORDINARY,ACTIVE,MOCK
B0217,D073,PONKUNNA-BUS-01,MOCK-KL-73-001,ORDINARY,ACTIVE,MOCK
B0218,D073,PONKUNNA-BUS-02,MOCK-KL-73-002,ORDINARY,ACTIVE,MOCK
B0219,D073,PONKUNNA-BUS-03,MOCK-KL-73-003,ORDINARY,ACTIVE,MOCK
B0220,D074,PONNANI-BUS-01,MOCK-KL-74-001,ORDINARY,ACTIVE,MOCK
B0221,D074,PONNANI-BUS-02,MOCK-KL-74-002,ORDINARY,ACTIVE,MOCK
B0222,D074,PONNANI-BUS-03,MOCK-KL-74-003,ORDINARY,ACTIVE,MOCK
B0223,D075,POOVAR-BUS-01,MOCK-KL-75-001,ORDINARY,ACTIVE,MOCK
B0224,D075,POOVAR-BUS-02,MOCK-KL-75-002,ORDINARY,ACTIVE,MOCK
B0225,D075,POOVAR-BUS-03,MOCK-KL-75-003,ORDINARY,ACTIVE,MOCK
B0226,D076,PUNALUR-BUS-01,MOCK-KL-76-001,ORDINARY,ACTIVE,MOCK
B0227,D076,PUNALUR-BUS-02,MOCK-KL-76-002,ORDINARY,ACTIVE,MOCK
B0228,D076,PUNALUR-BUS-03,MOCK-KL-76-003,ORDINARY,ACTIVE,MOCK
B0229,D077,PUTHUKKA-BUS-01,MOCK-KL-77-001,ORDINARY,ACTIVE,MOCK
B0230,D077,PUTHUKKA-BUS-02,MOCK-KL-77-002,ORDINARY,ACTIVE,MOCK
B0231,D077,PUTHUKKA-BUS-03,MOCK-KL-77-003,ORDINARY,ACTIVE,MOCK
B0232,D078,RANNI-BUS-01,MOCK-KL-78-001,ORDINARY,ACTIVE,MOCK
B0233,D078,RANNI-BUS-02,MOCK-KL-78-002,ORDINARY,ACTIVE,MOCK
B0234,D078,RANNI-BUS-03,MOCK-KL-78-003,ORDINARY,ACTIVE,MOCK
B0235,D079,SULTHANB-BUS-01,MOCK-KL-79-001,ORDINARY,ACTIVE,MOCK
B0236,D079,SULTHANB-BUS-02,MOCK-KL-79-002,ORDINARY,ACTIVE,MOCK
B0237,D079,SULTHANB-BUS-03,MOCK-KL-79-003,ORDINARY,ACTIVE,MOCK
B0238,D080,THALASSE-BUS-01,MOCK-KL-80-001,ORDINARY,ACTIVE,MOCK
B0239,D080,THALASSE-BUS-02,MOCK-KL-80-002,ORDINARY,ACTIVE,MOCK
B0240,D080,THALASSE-BUS-03,MOCK-KL-80-003,ORDINARY,ACTIVE,MOCK
B0241,D081,THAMARAS-BUS-01,MOCK-KL-81-001,ORDINARY,ACTIVE,MOCK
B0242,D081,THAMARAS-BUS-02,MOCK-KL-81-002,ORDINARY,ACTIVE,MOCK
B0243,D081,THAMARAS-BUS-03,MOCK-KL-81-003,ORDINARY,ACTIVE,MOCK
B0244,D082,THIRUVAL-BUS-01,MOCK-KL-82-001,ORDINARY,ACTIVE,MOCK
B0245,D082,THIRUVAL-BUS-02,MOCK-KL-82-002,ORDINARY,ACTIVE,MOCK
B0246,D082,THIRUVAL-BUS-03,MOCK-KL-82-003,ORDINARY,ACTIVE,MOCK
B0247,D083,THIRUVAM-BUS-01,MOCK-KL-83-001,ORDINARY,ACTIVE,MOCK
B0248,D083,THIRUVAM-BUS-02,MOCK-KL-83-002,ORDINARY,ACTIVE,MOCK
B0249,D083,THIRUVAM-BUS-03,MOCK-KL-83-003,ORDINARY,ACTIVE,MOCK
B0250,D084,THODUPUZ-BUS-01,MOCK-KL-84-001,ORDINARY,ACTIVE,MOCK
B0251,D084,THODUPUZ-BUS-02,MOCK-KL-84-002,ORDINARY,ACTIVE,MOCK
B0252,D084,THODUPUZ-BUS-03,MOCK-KL-84-003,ORDINARY,ACTIVE,MOCK
B0253,D085,THOTTILP-BUS-01,MOCK-KL-85-001,ORDINARY,ACTIVE,MOCK
B0254,D085,THOTTILP-BUS-02,MOCK-KL-85-002,ORDINARY,ACTIVE,MOCK
B0255,D085,THOTTILP-BUS-03,MOCK-KL-85-003,ORDINARY,ACTIVE,MOCK
B0256,D086,THRISSUR-BUS-01,MOCK-KL-86-001,ORDINARY,ACTIVE,MOCK
B0257,D086,THRISSUR-BUS-02,MOCK-KL-86-002,ORDINARY,ACTIVE,MOCK
B0258,D086,THRISSUR-BUS-03,MOCK-KL-86-003,ORDINARY,ACTIVE,MOCK
B0259,D087,TVMCENTR-BUS-01,MOCK-KL-87-001,ORDINARY,ACTIVE,MOCK
B0260,D087,TVMCENTR-BUS-02,MOCK-KL-87-002,ORDINARY,ACTIVE,MOCK
B0261,D087,TVMCENTR-BUS-03,MOCK-KL-87-003,ORDINARY,ACTIVE,MOCK
B0262,D088,TVMCITY-BUS-01,MOCK-KL-88-001,ORDINARY,ACTIVE,MOCK
B0263,D088,TVMCITY-BUS-02,MOCK-KL-88-002,ORDINARY,ACTIVE,MOCK
B0264,D088,TVMCITY-BUS-03,MOCK-KL-88-003,ORDINARY,ACTIVE,MOCK
B0265,D089,VADAKARA-BUS-01,MOCK-KL-89-001,ORDINARY,ACTIVE,MOCK
B0266,D089,VADAKARA-BUS-02,MOCK-KL-89-002,ORDINARY,ACTIVE,MOCK
B0267,D089,VADAKARA-BUS-03,MOCK-KL-89-003,ORDINARY,ACTIVE,MOCK
B0268,D090,VADAKKAN-BUS-01,MOCK-KL-90-001,ORDINARY,ACTIVE,MOCK
B0269,D090,VADAKKAN-BUS-02,MOCK-KL-90-002,ORDINARY,ACTIVE,MOCK
B0270,D090,VADAKKAN-BUS-03,MOCK-KL-90-003,ORDINARY,ACTIVE,MOCK
B0271,D091,VAIKOM-BUS-01,MOCK-KL-91-001,ORDINARY,ACTIVE,MOCK
