assignment_id,depot_id,bus_id,route_id,conductor_id,duty_date,shift_name,shift_start,shift_end,assignment_status,data_source
DA00032,D004,B0011,R0011,C0032,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00033,D004,B0011,R0011,C0033,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00034,D004,B0012,R0012,C0034,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00035,D004,B0012,R0012,C0035,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00036,D004,B0012,R0012,C0036,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00037,D005,B0013,R0013,C0037,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00038,D005,B0013,R0013,C0038,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00039,D005,B0013,R0013,C0039,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00040,D005,B0014,R0014,C0040,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00041,D005,B0014,R0014,C0041,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00042,D005,B0014,R0014,C0042,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00043,D005,B0015,R0015,C0043,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00044,D005,B0015,R0015,C0044,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00045,D005,B0015,R0015,C0045,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00046,D006,B0016,R0016,C0046,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00047,D006,B0016,R0016,C0047,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00048,D006,B0016,R0016,C0048,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00049,D006,B0017,R0017,C0049,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00050,D006,B0017,R0017,C0050,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00051,D006,B0017,R0017,C0051,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00052,D006,B0018,R0018,C0052,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00053,D006,B0018,R0018,C0053,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00054,D006,B0018,R0018,C0054,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00055,D007,B0019,R0019,C0055,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00056,D007,B0019,R0019,C0056,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00057,D007,B0019,R0019,C0057,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00058,D007,B0020,R0020,C0058,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00059,D007,B0020,R0020,C0059,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00060,D007,B0020,R0020,C0060,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00061,D007,B0021,R0021,C0061,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00062,D007,B0021,R0021,C0062,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00063,D007,B0021,R0021,C0063,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00064,D008,B0022,R0022,C0064,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00065,D008,B0022,R0022,C0065,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00066,D008,B0022,R0022,C0066,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00067,D008,B0023,R0023,C0067,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00068,D008,B0023,R0023,C0068,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00069,D008,B0023,R0023,C0069,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00070,D008,B0024,R0024,C0070,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00071,D008,B0024,R0024,C0071,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00072,D008,B0024,R0024,C0072,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00073,D009,B0025,R0025,C0073,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00074,D009,B0025,R0025,C0074,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00075,D009,B0025,R0025,C0075,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00076,D009,B0026,R0026,C0076,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00077,D009,B0026,R0026,C0077,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00078,D009,B0026,R0026,C0078,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00079,D009,B0027,R0027,C0079,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00080,D009,B0027,R0027,C0080,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00081,D009,B0027,R0027,C0081,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00082,D010,B0028,R0028,C0082,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00083,D010,B0028,R0028,C0083,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00084,D010,B0028,R0028,C0084,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00085,D010,B0029,R0029,C0085,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00086,D010,B0029,R0029,C0086,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00087,D010,B0029,R0029,C0087,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00088,D010,B0030,R0030,C0088,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00089,D010,B0030,R0030,C0089,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00090,D010,B0030,R0030,C0090,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00091,D011,B0031,R0031,C0091,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00092,D011,B0031,R0031,C0092,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00093,D011,B0031,R0031,C0093,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00094,D011,B0032,R0032,C0094,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00095,D011,B0032,R0032,C0095,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00096,D011,B0032,R0032,C0096,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00097,D011,B0033,R0033,C0097,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00098,D011,B0033,R0033,C0098,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00099,D011,B0033,R0033,C0099,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00100,D012,B0034,R0034,C0100,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00101,D012,B0034,R0034,C0101,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00102,D012,B0034,R0034,C0102,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00103,D012,B0035,R0035,C0103,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00104,D012,B0035,R0035,C0104,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00105,D012,B0035,R0035,C0105,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00106,D012,B0036,R0036,C0106,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00107,D012,B0036,R0036,C0107,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00108,D012,B0036,R0036,C0108,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00109,D013,B0037,R0037,C0109,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00110,D013,B0037,R0037,C0110,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00111,D013,B0037,R0037,C0111,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00112,D013,B0038,R0038,C0112,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00113,D013,B0038,R0038,C0113,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00114,D013,B0038,R0038,C0114,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00115,D013,B0039,R0039,C0115,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00116,D013,B0039,R0039,C0116,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00117,D013,B0039,R0039,C0117,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00118,D014,B0040,R0040,C0118,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00119,D014,B0040,R0040,C0119,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00120,D014,B0040,R0040,C0120,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00121,D014,B0041,R0041,C0121,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00122,D014,B0041,R0041,C0122,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00123,D014,B0041,R0041,C0123,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00124,D014,B0042,R0042,C0124,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00125,D014,B0042,R0042,C0125,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00126,D014,B0042,R0042,C0126,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00127,D015,B0043,R0043,C0127,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00128,D015,B0043,R0043,C0128,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00129,D015,B0043,R0043,C0129,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00130,D015,B0044,R0044,C0130,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00131,D015,B0044,R0044,C0131,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00132,D015,B0044,R0044,C0132,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00133,D015,B0045,R0045,C0133,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00134,D015,B0045,R0045,C0134,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00135,D015,B0045,R0045,C0135,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00136,D016,B0046,R0046,C0136,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00137,D016,B0046,R0046,C0137,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00138,D016,B0046,R0046,C0138,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00139,D016,B0047,R0047,C0139,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00140,D016,B0047,R0047,C0140,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00141,D016,B0047,R0047,C0141,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00142,D016,B0048,R0048,C0142,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00143,D016,B0048,R0048,C0143,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00144,D016,B0048,R0048,C0144,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00145,D017,B0049,R0049,C0145,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00146,D017,B0049,R0049,C0146,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00147,D017,B0049,R0049,C0147,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00148,D017,B0050,R0050,C0148,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00149,D017,B0050,R0050,C0149,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00150,D017,B0050,R0050,C0150,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00151,D017,B0051,R0051,C0151,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00152,D017,B0051,R0051,C0152,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00153,D017,B0051,R0051,C0153,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00154,D018,B0052,R0052,C0154,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00155,D018,B0052,R0052,C0155,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00156,D018,B0052,R0052,C0156,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00157,D018,B0053,R0053,C0157,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00158,D018,B0053,R0053,C0158,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00159,D018,B0053,R0053,C0159,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00160,D018,B0054,R0054,C0160,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00161,D018,B0054,R0054,C0161,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00162,D018,B0054,R0054,C0162,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00163,D019,B0055,R0055,C0163,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00164,D019,B0055,R0055,C0164,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00165,D019,B0055,R0055,C0165,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00166,D019,B0056,R0056,C0166,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00167,D019,B0056,R0056,C0167,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00168,D019,B0056,R0056,C0168,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00169,D019,B0057,R0057,C0169,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00170,D019,B0057,R0057,C0170,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00171,D019,B0057,R0057,C0171,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00172,D020,B0058,R0058,C0172,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00173,D020,B0058,R0058,C0173,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00174,D020,B0058,R0058,C0174,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00175,D020,B0059,R0059,C0175,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00176,D020,B0059,R0059,C0176,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00177,D020,B0059,R0059,C0177,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00178,D020,B0060,R0060,C0178,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00179,D020,B0060,R0060,C0179,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00180,D020,B0060,R0060,C0180,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00181,D021,B0061,R0061,C0181,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00182,D021,B0061,R0061,C0182,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00183,D021,B0061,R0061,C0183,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00184,D021,B0062,R0062,C0184,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00185,D021,B0062,R0062,C0185,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00186,D021,B0062,R0062,C0186,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00187,D021,B0063,R0063,C0187,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00188,D021,B0063,R0063,C0188,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00189,D021,B0063,R0063,C0189,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00190,D022,B0064,R0064,C0190,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00191,D022,B0064,R0064,C0191,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00192,D022,B0064,R0064,C0192,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00193,D022,B0065,R0065,C0193,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00194,D022,B0065,R0065,C0194,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00195,D022,B0065,R0065,C0195,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00196,D022,B0066,R0066,C0196,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00197,D022,B0066,R0066,C0197,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00198,D022,B0066,R0066,C0198,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00199,D023,B0067,R0067,C0199,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00200,D023,B0067,R0067,C0200,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00201,D023,B0067,R0067,C0201,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00202,D023,B0068,R0068,C0202,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00203,D023,B0068,R0068,C0203,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00204,D023,B0068,R0068,C0204,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00205,D023,B0069,R0069,C0205,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00206,D023,B0069,R0069,C0206,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00207,D023,B0069,R0069,C0207,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00208,D024,B0070,R0070,C0208,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00209,D024,B0070,R0070,C0209,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00210,D024,B0070,R0070,C0210,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00211,D024,B0071,R0071,C0211,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00212,D024,B0071,R0071,C0212,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00213,D024,B0071,R0071,C0213,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00214,D024,B0072,R0072,C0214,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00215,D024,B0072,R0072,C0215,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00216,D024,B0072,R0072,C0216,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00217,D025,B0073,R0073,C0217,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00218,D025,B0073,R0073,C0218,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00219,D025,B0073,R0073,C0219,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00220,D025,B0074,R0074,C0220,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00221,D025,B0074,R0074,C0221,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00222,D025,B0074,R0074,C0222,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00223,D025,B0075,R0075,C0223,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00224,D025,B0075,R0075,C0224,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00225,D025,B0075,R0075,C0225,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00226,D026,B0076,R0076,C0226,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00227,D026,B0076,R0076,C0227,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00228,D026,B0076,R0076,C0228,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00229,D026,B0077,R0077,C0229,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00230,D026,B0077,R0077,C0230,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00231,D026,B0077,R0077,C0231,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00232,D026,B0078,R0078,C0232,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00233,D026,B0078,R0078,C0233,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00234,D026,B0078,R0078,C0234,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00235,D027,B0079,R0079,C0235,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00236,D027,B0079,R0079,C0236,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00237,D027,B0079,R0079,C0237,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00238,D027,B0080,R0080,C0238,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00239,D027,B0080,R0080,C0239,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00240,D027,B0080,R0080,C0240,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00241,D027,B0081,R0081,C0241,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00242,D027,B0081,R0081,C0242,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00243,D027,B0081,R0081,C0243,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00244,D028,B0082,R0082,C0244,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00245,D028,B0082,R0082,C0245,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00246,D028,B0082,R0082,C0246,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00247,D028,B0083,R0083,C0247,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00248,D028,B0083,R0083,C0248,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00249,D028,B0083,R0083,C0249,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00250,D028,B0084,R0084,C0250,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00251,D028,B0084,R0084,C0251,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00252,D028,B0084,R0084,C0252,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00253,D029,B0085,R0085,C0253,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00254,D029,B0085,R0085,C0254,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00255,D029,B0085,R0085,C0255,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00256,D029,B0086,R0086,C0256,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00257,D029,B0086,R0086,C0257,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00258,D029,B0086,R0086,C0258,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00259,D029,B0087,R0087,C0259,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00260,D029,B0087,R0087,C0260,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
